timestamp,sensor,humidity,temperature,conductivity,ph,nitrogen,phosphorus,potassium,dht_humidity,dht_temperature
2025-01-28 14:07:47,Sensor1,0.0,0.0,0,0.0,0,0,0,0.0,0.0
2025-01-28 14:07:52,Sensor1,32.2,24.4,461,3.0,57,179,172,0.0,0.0
2025-01-28 14:07:57,Sensor1,32.0,24.5,461,4.6,57,179,172,0.0,0.0
2025-01-28 14:08:02,Sensor1,33.0,24.5,461,8.2,57,179,172,0.0,0.0
2025-01-28 14:08:07,Sensor1,32.0,24.5,461,8.2,57,179,172,0.0,0.0
2025-01-28 14:08:13,Sensor1,32.5,24.5,462,8.2,57,180,173,0.0,0.0
2025-01-28 14:08:18,Sensor1,32.8,24.5,462,8.2,57,180,173,0.0,0.0
2025-01-28 14:08:23,Sensor1,32.5,24.5,462,8.2,57,180,173,0.0,0.0
2025-01-28 14:08:28,Sensor1,33.1,24.5,462,8.2,57,180,173,0.0,0.0
2025-01-28 14:08:34,Sensor1,33.0,24.5,462,8.2,57,180,173,0.0,0.0
2025-01-28 14:08:39,Sensor1,33.0,24.5,462,8.2,57,180,173,0.0,0.0
2025-01-28 14:08:44,Sensor1,32.0,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:08:49,Sensor1,32.3,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:08:54,Sensor1,33.2,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:09:00,Sensor1,33.7,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:09:05,Sensor1,32.7,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:09:10,Sensor1,32.6,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:09:15,Sensor1,32.7,24.5,463,8.2,58,180,173,0.0,0.0
2025-01-28 14:09:20,Sensor1,32.9,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:26,Sensor1,32.7,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:31,Sensor1,32.7,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:36,Sensor1,32.7,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:41,Sensor1,32.3,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:47,Sensor1,32.0,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:50,Sensor1,32.5,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:51,Sensor1,32.5,24.5,464,8.2,58,181,174,0.0,0.0
2025-01-28 14:09:59,Sensor1,32.9,24.5,465,8.2,58,181,174,0.0,0.0
2025-01-28 14:12:53,Sensor1,0.0,0.0,0,0.0,0,0,0,0.0,0.0
2025-01-28 14:15:37,Sensor1,34.4,24.5,469,8.2,59,183,176,0.0,0.0
2025-01-28 14:20:37,Sensor1,34.4,24.5,470,8.2,59,183,177,0.0,0.0
2025-01-28 14:21:51,Sensor1,32.7,24.6,470,8.2,59,183,177,0.0,0.0
2025-01-28 14:26:51,Sensor1,32.6,24.6,468,8.2,59,182,176,0.0,0.0
2025-01-28 14:31:51,Sensor1,33.1,24.6,466,8.1,58,181,175,0.0,0.0
2025-01-28 14:36:51,Sensor1,32.3,24.6,464,8.1,58,181,174,0.0,0.0
2025-01-28 14:41:51,Sensor1,32.3,24.6,462,8.1,57,180,173,0.0,0.0
2025-01-28 14:44:36,Sensor1,32.7,24.6,462,8.1,57,180,173,0.0,0.0
2025-01-28 14:45:20,Sensor1,31.9,24.6,461,8.1,57,179,172,0.0,0.0
2025-01-28 14:45:21,Sensor1,0.0,0.0,0,0.0,0,0,0,0.0,0.0
2025-01-28 14:50:22,Sensor1,31.7,24.6,460,8.1,57,179,172,0.0,0.0
2025-01-28 14:55:22,Sensor1,31.7,24.6,458,8.1,57,178,171,0.0,0.0
2025-01-28 15:00:22,Sensor1,31.5,24.5,457,8.0,56,177,170,0.0,0.0
2025-01-28 15:05:22,Sensor1,31.3,24.5,456,8.0,56,177,170,0.0,0.0
2025-01-28 15:10:22,Sensor1,31.6,24.5,455,8.0,56,176,170,0.0,0.0
2025-01-28 15:15:23,Sensor1,31.0,24.5,454,8.0,56,176,169,0.0,0.0
2025-01-28 15:20:23,Sensor1,31.0,24.4,453,8.0,56,175,169,0.0,0.0
2025-01-28 15:25:23,Sensor1,30.7,24.4,452,8.0,55,175,168,0.0,0.0
2025-01-28 15:30:23,Sensor1,30.7,24.4,451,8.0,55,174,168,0.0,0.0
2025-01-28 15:35:24,Sensor1,31.0,24.3,450,8.0,55,174,167,0.0,0.0
2025-01-28 15:40:24,Sensor1,30.7,24.3,450,8.0,55,174,167,0.0,0.0
2025-01-28 15:45:24,Sensor1,30.7,24.2,448,8.0,55,173,166,0.0,0.0
2025-01-28 15:50:24,Sensor1,30.4,24.2,448,8.0,55,173,166,0.0,0.0
2025-01-28 15:55:24,Sensor1,30.7,24.1,447,8.0,54,172,166,0.0,0.0
2025-01-28 16:00:25,Sensor1,30.6,24.1,446,8.0,54,172,165,0.0,0.0
2025-01-28 16:05:25,Sensor1,30.6,24.1,446,8.0,54,172,165,0.0,0.0
2025-01-28 16:10:25,Sensor1,30.6,24.0,445,8.0,54,171,165,0.0,0.0
2025-01-28 16:15:25,Sensor1,31.0,23.9,444,8.0,54,171,164,0.0,0.0
2025-01-28 16:20:26,Sensor1,30.4,23.9,443,8.0,54,170,164,0.0,0.0
2025-01-28 16:25:26,Sensor1,31.2,23.8,442,8.0,53,170,163,0.0,0.0
2025-01-28 16:30:26,Sensor1,30.9,23.8,441,8.0,53,169,163,0.0,0.0
2025-01-28 16:35:26,Sensor1,30.6,23.8,441,8.0,53,169,163,0.0,0.0
2025-01-28 16:40:26,Sensor1,30.4,23.7,440,8.0,53,169,162,0.0,0.0
2025-01-28 16:45:27,Sensor1,30.4,23.6,439,8.0,53,168,162,0.0,0.0
2025-01-28 16:50:27,Sensor1,30.4,23.6,438,7.9,52,168,161,0.0,0.0
2025-01-28 16:55:27,Sensor1,31.4,23.6,438,7.9,52,168,161,0.0,0.0
2025-01-28 17:00:27,Sensor1,30.9,23.5,437,7.9,52,167,161,0.0,0.0
2025-01-28 17:05:28,Sensor1,30.4,23.5,437,7.9,52,167,161,0.0,0.0
2025-01-28 17:10:28,Sensor1,30.4,23.4,436,7.9,52,167,160,0.0,0.0
2025-01-28 17:15:28,Sensor1,30.4,23.4,435,7.9,52,167,160,0.0,0.0
2025-01-28 17:20:28,Sensor1,30.3,23.3,435,7.9,52,167,160,0.0,0.0
2025-01-28 17:25:29,Sensor1,30.7,23.3,434,7.9,52,166,159,0.0,0.0
2025-01-28 17:30:29,Sensor1,30.3,23.2,433,7.9,51,166,159,0.0,0.0
2025-01-28 17:35:29,Sensor1,30.4,23.2,433,7.9,51,166,159,0.0,0.0
2025-01-28 17:40:29,Sensor1,30.6,23.1,433,7.9,51,166,159,0.0,0.0
2025-01-28 17:45:29,Sensor1,30.0,23.1,432,7.9,51,165,158,0.0,0.0
2025-01-28 17:50:30,Sensor1,30.6,23.1,432,7.8,51,165,158,0.0,0.0
2025-01-28 17:55:30,Sensor1,30.6,23.0,431,7.8,51,165,158,0.0,0.0
2025-01-28 18:00:30,Sensor1,30.1,23.0,431,7.8,51,165,158,0.0,0.0
2025-01-28 18:05:30,Sensor1,30.3,22.9,430,7.8,51,164,157,0.0,0.0
2025-01-28 18:10:31,Sensor1,30.0,22.9,430,7.8,51,164,157,0.0,0.0
2025-01-28 18:15:31,Sensor1,30.0,22.8,429,7.8,51,164,157,0.0,0.0
2025-01-28 18:20:31,Sensor1,30.0,22.8,428,7.8,50,163,156,0.0,0.0
2025-01-28 18:25:31,Sensor1,30.0,22.7,428,7.8,50,163,156,0.0,0.0
2025-01-28 18:30:31,Sensor1,30.7,22.7,427,7.7,50,163,156,0.0,0.0
2025-01-28 18:35:32,Sensor1,30.4,22.7,426,7.7,50,162,155,0.0,0.0
2025-01-28 18:40:32,Sensor1,30.4,22.6,426,7.7,50,162,155,0.0,0.0
2025-01-28 18:45:32,Sensor1,30.0,22.6,425,7.7,50,162,155,0.0,0.0
2025-01-28 18:50:32,Sensor1,30.1,22.5,424,7.7,50,161,154,0.0,0.0
2025-01-28 18:55:33,Sensor1,30.3,22.5,424,7.7,50,161,154,0.0,0.0
2025-01-28 19:00:33,Sensor1,30.6,22.4,423,7.6,49,161,154,0.0,0.0
2025-01-28 19:05:33,Sensor1,30.0,22.3,422,7.6,49,160,153,0.0,0.0
2025-01-28 19:10:33,Sensor1,30.0,22.3,421,7.6,49,160,153,0.0,0.0
2025-01-28 19:15:33,Sensor1,30.1,22.2,421,7.6,49,160,153,0.0,0.0
2025-01-28 19:20:34,Sensor1,29.9,22.2,420,7.6,49,159,152,0.0,0.0
2025-01-28 19:25:34,Sensor1,30.6,22.1,419,7.6,49,159,152,0.0,0.0
2025-01-28 19:30:34,Sensor1,30.0,22.1,418,7.6,48,158,152,0.0,0.0
2025-01-28 19:35:34,Sensor1,29.9,22.0,418,7.5,48,158,152,0.0,0.0
2025-01-28 19:40:34,Sensor1,30.1,21.9,418,7.5,48,158,152,0.0,0.0
2025-01-28 19:45:35,Sensor1,30.0,21.9,416,7.5,48,157,151,0.0,0.0
2025-01-28 19:50:35,Sensor1,30.1,21.8,416,7.5,48,157,151,0.0,0.0
2025-01-28 19:55:35,Sensor1,30.1,21.8,415,7.5,48,157,150,0.0,0.0
2025-01-28 20:00:35,Sensor1,29.8,21.7,414,7.5,47,156,150,0.0,0.0
2025-01-28 20:05:36,Sensor1,29.9,21.7,414,7.5,47,156,150,0.0,0.0
2025-01-28 20:10:36,Sensor1,29.9,21.6,413,7.4,47,156,149,0.0,0.0
2025-01-28 20:15:36,Sensor1,30.1,21.5,412,7.4,47,155,149,0.0,0.0
2025-01-28 20:20:36,Sensor1,30.0,21.5,412,7.4,47,155,149,0.0,0.0
2025-01-28 20:25:37,Sensor1,29.9,21.4,411,7.4,47,155,148,0.0,0.0
2025-01-28 20:30:37,Sensor1,29.9,21.4,411,7.4,47,155,148,0.0,0.0
2025-01-28 20:35:37,Sensor1,29.9,21.3,410,7.4,47,154,148,0.0,0.0
2025-01-28 20:40:37,Sensor1,30.1,21.3,410,7.4,47,154,148,0.0,0.0
2025-01-28 20:45:37,Sensor1,29.7,21.2,409,7.4,46,154,147,0.0,0.0
2025-01-28 20:50:38,Sensor1,29.6,21.2,409,7.3,46,154,147,0.0,0.0
2025-01-28 20:55:38,Sensor1,29.7,21.2,409,7.3,46,154,147,0.0,0.0
2025-01-28 21:00:38,Sensor1,29.6,21.1,408,7.3,46,154,147,0.0,0.0
2025-01-28 21:05:38,Sensor1,29.8,21.0,407,7.3,46,153,146,0.0,0.0
2025-01-28 21:10:39,Sensor1,30.0,21.0,407,7.3,46,153,146,0.0,0.0
2025-01-28 21:15:39,Sensor1,30.1,20.9,406,7.3,46,153,146,0.0,0.0
2025-01-28 21:20:39,Sensor1,30.1,20.9,406,7.3,46,153,146,0.0,0.0
2025-01-28 21:25:39,Sensor1,30.0,20.9,406,7.3,46,153,146,0.0,0.0
2025-01-28 21:30:39,Sensor1,30.1,20.9,406,7.3,46,153,146,0.0,0.0
2025-01-28 21:35:40,Sensor1,30.6,20.8,405,7.3,46,152,145,0.0,0.0
2025-01-28 21:40:40,Sensor1,29.9,20.8,405,7.3,46,152,145,0.0,0.0
2025-01-28 21:45:40,Sensor1,29.9,20.7,404,7.3,45,152,145,0.0,0.0
2025-01-28 21:50:40,Sensor1,29.8,20.7,404,7.3,45,152,145,0.0,0.0
2025-01-28 21:55:41,Sensor1,29.6,20.7,404,7.3,45,152,145,0.0,0.0
2025-01-28 22:00:41,Sensor1,29.8,20.7,404,7.3,45,152,145,0.0,0.0
2025-01-28 22:05:41,Sensor1,30.1,20.6,403,7.2,45,151,144,0.0,0.0
2025-01-28 22:10:41,Sensor1,29.6,20.6,402,7.2,45,151,144,0.0,0.0
2025-01-28 22:15:41,Sensor1,29.9,20.6,402,7.2,45,151,144,0.0,0.0
2025-01-28 22:20:42,Sensor1,29.7,20.5,402,7.2,45,151,144,0.0,0.0
